exercise_id,canonical_name,name_es,equipment_type,primary_muscle_group_id,allows_quad_focus,allows_glute_focus,target_section,tension_type,stability_type,biomechanical_bias,movement_pattern,role,fatigue_cost,joint_stress,substitution_group,secondary_muscles,curation_notes
fd76e7a0-6f71-4b2c-9050-ef13e8cd97ee,lying_leg_curl,Curl Femoral Tumbado,machine,9,False,False,hamstrings,shortened,high_external,mid-range,knee_flexion,isolation,low,knee;hip,knee_flexion_hamstrings,,
6fb7a368-3410-4fb0-b85b-e9779c146bf4,machine_adductor,Aductores en Máquina,machine,11,False,False,adductores,shortened,high_external,mid-range,hip_adduction,isolation,low,hip,hip_adduction_adductors,,
7a15d239-26cb-4c9d-83d6-ea15344bea58,one_arm_row,Remo Unilateral con Mancuerna,dumbbell,4,False,False,back_thickness,stretch,low_external,mid-range,horizontal_pull,primary_accessory,medium,shoulder;elbow;lumbar,row_back,biceps;forearms,
ab5c3db9-fed7-46da-b1dc-8d6e01df16a1,overhead_db_extension,Extensión de Tríceps tras nuca (Mancuerna),dumbbell,7,False,False,triceps,,low_external,mid-range,elbow_extension,isolation,low,elbow;shoulder,triceps_extension_overhead,shoulders,
ef08bb83-a18a-47a1-89f1-71b04e11006b,overhead_tricep_ext,Extensión Tríceps tras nuca,cable,7,False,False,triceps_long_head,stretch,high_external,mid-range,elbow_extension,isolation,low,elbow;shoulder,triceps_extension_overhead,shoulders,
201931ee-85b2-47b1-b974-20e96dc1a177,peck_deck_fly,Peck Deck,machine,3,False,False,chest_medial,shortened,high_external,mid-range,horizontal_push,isolation,low,shoulder;elbow,chest_fly,shoulders,Fly pattern is not explicit in allowed taxonomy; mapped to horizontal_push.
6f3d6b0d-e3f5-47c8-8d75-aab47b8300c5,preacher_curl,Curl Predicador,barbell,6,False,False,biceps_short_head,shortened,low_external,mid-range,elbow_flexion,isolation,low,elbow;wrist,biceps_curl,forearms,
339f9ec4-f7d9-4479-97f8-305ea2437a4d,preacher_curl_machine,Curl Predicador en Máquina (Bíceps),machine,6,False,False,biceps,,high_external,mid-range,elbow_flexion,isolation,low,elbow;wrist,biceps_curl,forearms,
9baff0b6-84ce-4491-80c3-033c15ba7e60,reverse_curl_ez,Curl Inverso (Barra EZ),barbell,13,False,False,forearms,mid-range,low_external,mid-range,elbow_flexion,isolation,low,elbow;wrist,biceps_curl_forearm,biceps,Forearm-biased curl; taxonomy lacks wrist/forearm curl movement.
f39121bf-809e-4e76-823e-e87a064385f6,rope_pushdown,Extensión Tríceps Cuerda,cable,7,False,False,triceps,shortened,high_external,mid-range,elbow_extension,isolation,low,elbow;wrist,triceps_pushdown,,
98184e31-b2d9-4867-9e54-ec5165b1e8e8,seated_cable_row,Remo Gironda (Polea Baja),cable,4,False,False,back_thickness,shortened,high_external,mid-range,horizontal_pull,primary_accessory,medium,shoulder;elbow;lumbar,row_back,biceps;forearms,
395759b3-bbac-4d04-a054-1e076ddfb6ea,seated_leg_curl,Curl Femoral Sentado,machine,9,False,False,hamstrings,shortened,high_external,mid-range,knee_flexion,isolation,low,knee;hip,knee_flexion_hamstrings,,
a8550306-f155-4127-a719-8d33af2745ea,side_lying_leg_raise,Elevación Lateral de Pierna (Suelo),bodyweight,12,False,False,glute_medius,,high_external,mid-range,hip_abduction,isolation,low,hip,hip_abduction_abductors,glutes,
2c2d9090-d2ac-4924-a490-2c87427ce953,single_leg_hip_thrust,Hip Thrust Unilateral,dumbbell,2,False,False,glute_max,,low_external,mid-range,hip_thrust,primary_accessory,medium,hip;lumbar,hip_thrust_glutes,hamstrings,
58ea6e27-0b95-4dfa-a3aa-c074d56f3eee,sissy_squat,Sentadilla Sissy,bodyweight,1,True,False,quads,stretch,low_external,stretch,squat,primary_accessory,medium,knee;ankle,squat_quad_glute,,Sissy squat is highly knee-dominant; mapped to squat and should be avoided for knee pain.
a818f650-c1e6-41cc-848b-e6d69859366a,standing_cable_abduction,Abducción de Cadera de Pie en Polea,cable,12,False,False,glute_medius,,low_external,mid-range,hip_abduction,isolation,low,hip,hip_abduction_abductors,glutes,
477b6dc8-99e9-4c72-818a-25c5904497d7,step_up_glute_bias,Step Up (Enfoque Glúteo),bodyweight,2,False,False,glute_max,stretch,low_external,mid-range,squat,primary_accessory,medium,knee;hip;ankle,single_leg_squat_glute,quads;hamstrings,Step-up pattern is not explicit in allowed taxonomy; mapped to squat.
695dbe4c-3561-4975-a011-53570723c0be,stiff_leg_deadlift,Peso Muerto Rumano (Barra),barbell,9,False,False,hamstrings,stretch,low_external,mid-range,hinge,anchor,high,hip;lumbar;ankle,hinge_hamstrings,glutes,
3ac2c987-e1aa-4c67-87ed-59ed92a86b8e,sumo_squat_db,Sentadilla Sumo (Mancuerna),dumbbell,11,False,True,adductors,stretch,low_external,stretch,squat,primary_accessory,medium,knee;hip;ankle,squat_adductor_glute,glutes;quads,Adductor-biased squat; mapped to squat.
17ba506d-2e85-4c6c-8743-fde53da9b598,tricep_katana_ext,Extensión de Tríceps Katana,cable,7,False,False,triceps,stretch,low_external,mid-range,elbow_extension,isolation,low,elbow;shoulder,triceps_extension_overhead,shoulders,
48e8b95a-b573-4a95-ade7-4b0778748c37,tricep_pushdown,Extensión de Tríceps Polea,cable,7,False,False,triceps,shortened,high_external,mid-range,elbow_extension,isolation,low,elbow;wrist,triceps_pushdown,,
e34aaf1b-4903-45fb-aafa-6b771fac0bbf,v_bar_pulldown,Jalón al Pecho con Agarre en V (Espalda Ancho),machine,4,False,False,back_width,,high_external,mid-range,vertical_pull,primary_accessory,medium,shoulder;elbow,vertical_pull_back,biceps,
991bf01d-d45b-45f6-9ffd-6acd7a7f0c25,wrist_curl_barbell,Curl de Muñeca con Barra,barbell,13,False,False,forearms,shortened,high_external,mid-range,elbow_flexion,isolation,low,wrist;elbow,forearm_curl,biceps,Wrist flexion is unsupported in allowed movement_pattern values; mapped to elbow_flexion and marked ambiguous.
